"id","name","publisher","url","category","audience","access_model","free_scope","access_notes","starter_task","reviewed_on","source_titles","source_urls","source_dates","source_support"
"mitre-attack-cti-training","MITRE ATT&CK for Cyber Threat Intelligence training","MITRE","https://attack.mitre.org/resources/learn-more-about-attack/training/cti/","Security and IT operations","security analysts; threat-intelligence analysts; incident responders","public","Five public video-and-exercise modules with slides, guided and unguided exercises, and answer guidance for ATT&CK-based CTI analysis.","Prior familiarity with ATT&CK is recommended. The supplied exercises use ATT&CK v8; use that version to reproduce the published answers and separately check current techniques for operational work. Video playback and accessibility settings were not tested.","Map two behaviors from a fictional incident narrative to ATT&CK techniques, retain an unmapped behavior as uncertain, and propose one defensive evidence request for each mapping.","2026-09-19","CTI Training","https://attack.mitre.org/resources/learn-more-about-attack/training/cti/","unknown","The public page links all five video/exercise modules and explains prerequisite knowledge, solo/team use, and the ATT&CK v8 limitation."
"ninjaone-academy","NinjaOne Academy","NinjaOne","https://www.ninjaone.com/ninjaone-academy/","Security and IT operations","IT support staff; endpoint administrators; managed service technicians","customer-included","Academy training is free of additional charge for NinjaOne customers.","Only NinjaOne customers are eligible. Access starts in the NinjaOne application Help menu; an account representative may need to enable the Academy link. This is not a free product subscription or a public enrollment offer.","Use three fictional endpoint alerts to draft a triage decision, an escalation owner, and the evidence needed before closing each ticket.","2026-09-19","NinjaOne Academy","https://www.ninjaone.com/ninjaone-academy/","unknown","The FAQ states that the program is free of charge, only NinjaOne customers can enroll, and access is through the application Help menu."
"okta-learning","Okta Learning: no-cost on-demand resources","Okta","https://learning.okta.com/","Security and IT operations","identity administrators; IT support staff; security analysts","free-account","The public no-cost on-demand foundational learning subset described in the official Okta Learning catalog.","A learning account is used for enrollment. The Expert Learning Pass, advanced instructor-led offerings, certification exams, and an Okta production tenant are separate. Do not interpret the whole catalog as free.","Draft a fictional SSO support handoff that distinguishes an authentication failure, an application-assignment issue, and an authorization failure, with one evidence request for each.","2026-09-19","Okta Learning Catalog","https://www.okta.com/sites/default/files/2023-01/Education-Services-Catalog-2022.pdf","unknown","The retrieved PDF identifies itself as the 2025 catalog despite its older URL. It describes public no-cost on-demand resources separately from the paid Expert Learning Pass; no exact publication date was stated."
"owasp-webgoat","OWASP WebGoat","OWASP Foundation","https://owasp.org/projects/webgoat","Security and IT operations","application developers; application security engineers; security analysts","public","Open-source interactive web-application security lessons in a deliberately vulnerable teaching application.","Learners supply an isolated local environment and required runtime or container tooling. This is downloadable learning software, not a managed LMS or a production-safe application. Keep it isolated and follow the project setup warnings.","In a local isolated WebGoat lesson, record an input-validation weakness, explain why it works, and describe a defensive change; do not test a real service.","2026-09-19","OWASP WebGoat","https://owasp.org/projects/webgoat","unknown","The project provides free open resources, interactive lessons, installation links, and explicit warnings about running its deliberately vulnerable application."
"palo-alto-learning-center","Palo Alto Networks Learning Center: digital learning","Palo Alto Networks","https://learn.paloaltonetworks.com/","Security and IT operations","security analysts; network administrators; cloud administrators","free-account","The free digital-learning module library described by Education Services, covering Palo Alto Networks security topics and products.","Use the Learning Center enrollment/account route. Free digital modules do not imply a product subscription, instructor-led training, hands-on lab entitlement, or certification exam. Beacon is not a separate directory entry.","After a relevant security module, draft a fictional firewall-change review with an allowed flow, a denied flow, the required evidence, and a rollback condition.","2026-09-19","Education Services, Training and Certification","https://www.paloaltonetworks.com/services/education","unknown","The Digital Learning section explicitly identifies a free module library and links the current Learning Center; instructor-led training and certification are separate offerings."
"qualys-training","Qualys Certification and Training Center","Qualys","https://www.qualys.com/training","Security and IT operations","security analysts; vulnerability-management staff; IT administrators","free-account","The official free course catalog, including self-paced training and hands-on learning for Qualys topics.","Create a training account and check the chosen course prerequisites and delivery dates. Free course/lab access is not a Qualys production subscription; scheduled sessions remain subject to availability. Do not run scans on organizational systems as an unapproved learning exercise.","After vulnerability-management foundations, rank five fictional findings using asset importance, exposure, and evidence quality; record what remains unknown before recommending remediation.","2026-09-19","Qualys Certification and Training Center","https://www.qualys.com/training","unknown","The official training page advertises free courses with hands-on labs, self-paced and scheduled delivery, and training-account creation."
"ripe-ncc-academy","RIPE NCC Academy","RIPE NCC","https://academy.ripe.net/","Security and IT operations","network administrators; network engineers; IT infrastructure staff","free-account","Free online Academy courses and associated online learning available to members and non-members.","Use a learner account for enrollment and progress. RIPE NCC in-person training benefits and member exam vouchers are separate from the public free online offering; do not assume a free certification exam.","Using a fictional routing-change proposal, identify the intended announcement, an RPKI validation question, a rollback trigger, and evidence needed from the operator.","2026-09-19","Training","https://www.ripe.net/training/","unknown","RIPE NCC explicitly states that Academy eLearning and webinars are free to members and non-members while describing member-only training and exam benefits separately."
"sailpoint-identity-university","SailPoint Identity University: introductory training","SailPoint","https://www.sailpoint.com/university","Security and IT operations","identity administrators; security analysts; IT managers","free-account","Introductory identity-security courses made available at no cost to public learners, including learners outside customer and partner organizations.","An Identity University account is required. The public free subset is introductory training; comprehensive on-demand subscriptions, advanced courses, and certification exams are not implied. Verify the selected course remains in the free subset before assigning it.","Create an access-review worksheet for a fictional employee changing departments: current access, proposed access, approver, expiry, and evidence that removal actually occurred.","2026-09-19","SailPoint opens up Identity University to the public | Identity University: training and certification","https://www.sailpoint.com/press-releases/sailpoint-opens-up-identity-university-to-the-public | https://www.sailpoint.com/university","2023-10-10 | unknown","The official announcement explicitly allows anyone to register for introductory training at no cost and separates this from the full paid subscription. | Current FAQ and Start Learning section describe a free open portfolio of foundational courses, alongside paid training offerings."
"sans-security-resources","SANS free security resources and webcasts","SANS Institute","https://www.sans.org/security-resources","Security and IT operations","security analysts; incident responders; IT managers","free-account","Free community resources such as webcasts, summit presentations, operational cheat sheets, and selected training tools.","Some resources are public and others require a free community membership or event registration. This is not free access to the full SANS course catalog, GIAC exams, or an awareness-training subscription. Time-limited trials are excluded.","After a relevant incident-response webcast or guide, write a fictional first-20-minutes triage checklist with an evidence owner, an escalation trigger, and an unresolved question.","2026-09-19","Cyber Security Resources","https://www.sans.org/security-resources","unknown","The current official resource hub advertises free community membership, webinars, presentations, and practical security resources; the former /free route redirects here."
"ncsc-top-tips-for-staff","Top Tips for Staff","UK National Cyber Security Centre","https://www.ncsc.gov.uk/information/top-tips-for-staff","Security and IT operations","employees; people managers; security awareness coordinators","public","Free staff-awareness eLearning with a quiz and downloadable SCORM packages for organizational delivery.","The public online course requires no login. The publisher offers SCORM packages for an organization's own LMS; LMS hosting and local reporting remain the organization's responsibility. Content uses UK guidance and examples and should be adapted to local reporting procedures.","Have a learner classify a fictional suspicious message, explain the warning signs, and identify the organization's intended reporting route without sending any message.","2026-09-19","Top Tips for Staff","https://www.ncsc.gov.uk/information/top-tips-for-staff","2025-05-19","NCSC explicitly describes free training for organizations of any size or sector, no-login online access, and downloadable SCORM versions."
"portswigger-web-security-academy","Web Security Academy","PortSwigger","https://portswigger.net/web-security","Security and IT operations","application developers; security analysts; application security engineers","free-account","Free web-security learning content and interactive practice labs, with learner progress tracking.","Create a free account for lab access and tracking. Some exercises use Burp Suite; the free Community Edition is available, while paid professional products and separate certification are outside this listing. Practice only in the supplied authorized labs.","Complete one provided access-control lab, then write the observed failure, the minimum corrective control, and a retest plan using only the lab scenario.","2026-09-19","Web Security Academy","https://portswigger.net/web-security","unknown","The Academy states that its learning content and labs are free, explains account-based progress, and distinguishes its own learning environment from other products."
"alteryx-academy","Alteryx Academy — free learning pathways","Alteryx","https://academy.alteryx.com/","Cloud, development and data","Data analysts; Finance operations staff; Business analysts","free-account","Free learning pathways and the entry-level Alteryx Essentials certificate.","A free MyAlteryx account provides Academy access. Premium hands-on courses and learning bundles are paid or included only for entitled customers; software licensing remains separate. Essentials is a completion certificate, not the full professional certification.","Using a fictional vendor list, outline a workflow to standardize names, identify duplicates and preserve uncertain matches for review.","2026-09-19","Alteryx instructor-led training FAQ | Discover the New Alteryx Academy","https://community.alteryx.com/discussion/960613/instructor-led-training-faq | https://community.alteryx.com/discussion/1428835/discover-the-new-alteryx-academy","unknown | unknown","Identifies Academy's free learning pathways alongside instructor-led training. | Explains free MyAlteryx registration, free Essentials, and premium paid/customer-entitled learning."
"aws-educate","AWS Educate","Amazon Web Services","https://aws.amazon.com/education/awseducate/","Cloud, development and data","Cloud beginners; Service desk staff; Career changers","free-account","Beginner cloud courses, included hands-on labs and digital badges.","Open to individuals regardless of education or career stage; registration accepts learners aged 13+ with an email address and no credit card. The learning labs are distinct from operating a production AWS account.","Use the cost-estimation lab to explain which resources a fictional departmental service would consume.","2026-09-19","AWS Educate","https://aws.amazon.com/education/awseducate/","unknown","Explicitly free courses and hands-on labs, open enrollment, email registration and no credit-card requirement."
"aws-skill-builder","AWS Skill Builder — free digital training","Amazon Web Services","https://aws.amazon.com/training/digital/","Cloud, development and data","Cloud administrators; Developers; Technology leaders","free-account","Free self-paced digital courses and selected learning resources.","Use the free learner account and select free content. The full immersive lab and exam-preparation suite requires an Individual or Team subscription; Digital Classrooms require annual Individual or Team access. AWS service accounts and certification exams are separate.","Use foundational cloud training to draw a fictional application's responsibility split between the organization and AWS.","2026-09-19","AWS Skill Builder","https://aws.amazon.com/training/digital/","unknown","Separates free self-paced courses from paid subscriptions, immersive experiences and Digital Classrooms."
"cognitive-class","Cognitive Class","Cognitive Class","https://cognitiveclass.ai/","Cloud, development and data","Data analysts; Developers; Technical beginners","free-account","Courses, guided projects and learning paths in data science and emerging technologies.","Registration and email activation are required for the learning account. The FAQ says courses and guided projects are free. Excludes the separate IBM Bob 30-day trial advertised on the site.","Complete a data analysis exercise with synthetic records, then explain one missing-data limitation in the result.","2026-09-19","Cognitive Class FAQ | Cognitive Class learning catalog","https://cognitiveclass.ai/faq | https://cognitiveclass.ai/","unknown | unknown","Confirms courses and guided projects are free and explains registration/email activation. | Describes courses, paths and interactive projects; separately advertises a time-limited product trial."
"confluent-developer","Confluent Developer courses","Confluent","https://developer.confluent.io/courses/","Cloud, development and data","Data engineers; Developers; Platform engineers","public","Public Kafka and Flink video lessons, transcripts and course instructions.","Lessons can be read without enrollment. Some hands-on steps use Confluent Cloud and advertise limited promotional credits; those credits and production services are not an unlimited free lab entitlement. Certification and commercial training are outside this entry.","From Kafka 101, diagram fictional ticket events and explain producer, topic, consumer and duplicate-message handling.","2026-09-19","Confluent Developer courses | Apache Kafka101 introduction","https://developer.confluent.io/courses/ | https://developer.confluent.io/courses/apache-kafka/events/","unknown | unknown","Public course collection organizes Kafka/Flink learning by role and level. | Provides public lesson text/modules and separately advertises limited Confluent Cloud promotional credit."
"databricks-academy","Databricks Academy — self-paced learning","Databricks","https://www.databricks.com/learn/training/home","Cloud, development and data","Data engineers; Data analysts; Application developers","free-account","Free self-paced training and fundamentals badges; use courses marked Free.","A learner account is required for course enrollment and progress. Instructor-led courses, Academy Pro and dedicated lab access are separate offerings. Free learning does not imply unlimited product compute or a production Databricks license.","After fundamentals training, map a fictional report's ingestion, transformation, governance and serving stages and identify one acceptance check per stage.","2026-09-19","Databricks Training and Certification | Introducing Databricks Free Edition","https://www.databricks.com/learn/training/home | https://community.databricks.com/t5/announcements/introducing-databricks-free-edition/m-p/122853","unknown | 2025-06-25","Current page identifies free on-demand fundamentals and role-based training. | Official employee announcement says all self-paced Academy courses are free to all users, superseding older customer-only descriptions."
"datadog-learning-center","Datadog Learning Center","Datadog","https://learn.datadoghq.com/","Cloud, development and data","IT operations staff; Developers; Platform engineers","free-account","Free on-demand courses with interactive Datadog labs.","A Learning Center account is separate from a production Datadog account. Labs require cookies and WebSockets and can be affected by organization browser/network policies. Product subscriptions and certification are separate; do not connect production telemetry for a basic learning exercise.","In a supplied training lab, investigate a fictional service symptom and record which metric, log or trace supports the diagnosis.","2026-09-19","Datadog Academy learning options | Datadog Learning Center FAQ","https://learn.datadoghq.com/pages/sda-datadog-academy | https://learn.datadoghq.com/pages/faq","unknown | unknown","States Learning Center courses and interactive labs are free; distinguishes certification. | Explains the separate learning identity and browser/network requirements for interactive labs."
"docker-get-started","Docker Get Started","Docker","https://docs.docker.com/get-started/","Cloud, development and data","Developers; IT administrators; Platform engineers","public","Public installation guidance and tutorials on containers, images and application stacks.","Reading is free. Docker Desktop professional use requires payment in larger organizations and government; the small-business exception requires fewer than 250 employees AND under $10 million annual revenue. Docker Engine open-source terms are separate; registry or cloud services may have limits.","On an appropriately licensed local environment, containerize a fictional status page and document how to start, inspect and remove it.","2026-09-19","Get started with Docker | Docker Desktop license agreement","https://docs.docker.com/get-started/ | https://docs.docker.com/subscription-billing/desktop-license/","unknown | unknown","Public tutorial entry covers installation, containerized applications and administrator onboarding. | Specifies Desktop's free-use categories, organization-size thresholds and paid-use requirements."
"elastic-free-training","Elastic — free self-paced training","Elastic","https://www.elastic.co/training","Cloud, development and data","Search developers; IT operations staff; Security analysts","free-account","Designated no-cost expert-designed modules across search, observability, security and platform topics.","Elastic Cloud account and email verification are required for the learning portal. Choose no-cost modules; instructor-led courses, comprehensive subscriptions and paid certifications are separate. Cloud deployment costs are separate from learning access.","Use a foundational search module to describe a fictional document search test, including a missing result and an irrelevant match.","2026-09-19","Elastic Training | Elastic Training FAQ","https://www.elastic.co/training | https://www.elastic.co/training/faq","unknown | unknown","Explicitly offers self-paced modules at no cost alongside instructor-led training. | Requires Elastic Cloud identity and email verification; distinguishes paid purchases/subscriptions and lab time."
"github-skills","GitHub Skills","GitHub","https://github.com/skills","Cloud, development and data","Developers; Documentation maintainers; Technical project leads","free-account","Interactive repository-based courses with automated feedback, including branches, commits and pull requests.","A GitHub account is needed to create the exercise repository. Public course instructions are readable without enrollment; execution depends on repository and Actions policies. Paid certifications and Expert Services training are separate. The former skills.github.com landing page redirects to GitHub Learn.","Create a fictional onboarding README in an exercise repository, propose a change in a branch, and have a colleague review the pull request.","2026-09-19","Git and GitHub learning resources | Introduction to GitHub exercise","https://docs.github.com/en/get-started/start-your-journey/git-and-github-learning-resources | https://github.com/skills/introduction-to-github","unknown | unknown","Identifies GitHub Skills as free interactive courses and GitHub Learn as the unified hub. | Public official exercise teaches repositories, branches, commits and pull requests using a README."
"gitlab-university","GitLab University","GitLab","https://university.gitlab.com/","Cloud, development and data","Developers; Platform engineers; Project leads","free-account","Public self-paced courses, learning paths and selected events covering DevSecOps.","Anyone can register with an email address. Certifications and public instructor-led classes are paid. A dedicated Enterprise learning portal is included only with Signature Success; it is not required for the free public courses.","Use Git essentials to outline a merge-request review procedure for a fictional application team.","2026-09-19","GitLab University handbook","https://handbook.gitlab.com/handbook/customer-success/gitlab-university/","unknown","Public courses are free; explains email registration, paid exams/classes and customer portal entitlement."
"google-skills-cloud","Google Skills — Cloud Starter learning","Google","https://www.skills.google/subscriptions","Cloud, development and data","Cloud administrators; Developers; Data analysts","free-account","Starter access with 35 no-cost credits each month for limited hands-on labs and skill badges.","Requires a Google Account and Developer Profile. The monthly credits limit free lab use; unlimited labs are in the paid Pro plan. Excludes the advertised seven-day subscription trial and Google Cloud production credits.","Choose a lab within the monthly allowance and write a cleanup checklist for a fictional cloud workload.","2026-09-19","Google Skills subscriptions","https://www.skills.google/subscriptions","unknown","Starter is no cost with 35 monthly credits, limited labs, and account/profile requirements; Pro is paid."
"grafana-tutorials","Grafana Labs tutorials","Grafana Labs","https://grafana.com/tutorials/","Cloud, development and data","IT operations staff; Platform engineers; Developers","public","Public procedural guides, explanatory articles and tutorial videos for dashboards and observability.","Written tutorials are publicly readable. Some webinars require registration and some exercises require Grafana Cloud or another deployment; service quotas, licensing and infrastructure charges are separate from the tutorial text.","Sketch a dashboard for a fictional service with latency, errors and traffic, then specify what would make one alert actionable.","2026-09-19","Grafana tutorials","https://grafana.com/tutorials/","unknown","Provides public procedural, article and video learning types, including dashboards, alerting, metrics, logs and traces."
"hashicorp-developer","HashiCorp Developer tutorials","HashiCorp","https://developer.hashicorp.com/tutorials","Cloud, development and data","Platform engineers; Cloud administrators; Developers","public","Public Terraform, Vault and other infrastructure tutorials and learning paths.","Reading does not require a subscription. Cloud-based exercises require the named provider accounts and can create billable infrastructure; paid HCP services and certification exams are outside this free reading scope. Terraform is included here, not counted again.","Read a Terraform starter path, then review a fictional plan for unintended resource changes and list the cleanup steps before running anything.","2026-09-19","HashiCorp Developer tutorials","https://developer.hashicorp.com/tutorials","unknown","Lists step-by-step Terraform paths for AWS/Azure/Google Cloud and Vault foundations, separately linking certification."
"ibm-skillsbuild","IBM SkillsBuild for Adult Learners","IBM","https://skillsbuild.org/adult-learners","Cloud, development and data","Technology beginners; Business users; Career changers","free-account","Online career and technology learning with digital credentials in the adult-learner offering.","Sign up for the adult learner platform. The publisher labels this offering 100% free; it is not a license for IBM enterprise software or every IBM professional training program.","Take a foundational technology module and write a plain-language glossary for a fictional team's onboarding pack.","2026-09-19","IBM SkillsBuild for Adult Learners","https://skillsbuild.org/adult-learners","unknown","Adult learner offering is described as 100% free and online, with sign-up and learning catalog links."
"kubernetes-basics","Kubernetes official tutorials","Kubernetes project","https://kubernetes.io/docs/tutorials/kubernetes-basics/","Cloud, development and data","Platform engineers; Developers; IT administrators","public","Public modules for deploying, inspecting, scaling, updating and debugging applications.","No learning account is required to read the tutorials. Exercises require a practice cluster; local learning environments and hosted services have their own prerequisites and resource costs. The tutorials do not include a certification exam.","Use a disposable local cluster to deploy a fictional service, change its version and explain how you would observe a failed rollout.","2026-09-19","Learn Kubernetes Basics","https://kubernetes.io/docs/tutorials/kubernetes-basics/","unknown","Defines tutorial objectives and modules and links practice-cluster guidance."
"linux-foundation-free-courses","Linux Foundation — free courses","Linux Foundation Education","https://training.linuxfoundation.org/resources/?_sft_content_type=free-course","Cloud, development and data","IT administrators; Developers; Platform engineers","free-account","Courses explicitly listed in the free-course collection across Linux, cloud, networking and open source.","Enroll through the learning platform specified by each course. The full catalog also contains paid courses, subscriptions, exams and bundles; select the free offering rather than a paid credential bundle.","Use an introductory Linux course to create a fictional server handoff checklist covering files, processes and service ownership.","2026-09-19","Linux Foundation free resources | Linux Foundation full catalog","https://training.linuxfoundation.org/resources/?_sft_content_type=free-course | https://training.linuxfoundation.org/full-catalog/","unknown | unknown","Official resource collection identifies free courses and supported subject areas. | Catalog separates free e-learning from paid training, certifications and subscriptions."
"microsoft-learn","Microsoft Learn","Microsoft","https://learn.microsoft.com/training/","Cloud, development and data","IT administrators; Developers; Data analysts","public","Self-paced product and role learning paths, modules and knowledge checks.","Reading does not require a profile; a free profile tracks progress. The FAQ says Learn sandboxes are no longer available: Azure exercises require an Azure subscription and may incur charges. Certification exams are separate from free module completion.","Complete a cloud identity module, then explain the access boundaries of a fictional application to a colleague.","2026-09-19","Microsoft Learn frequently asked questions","https://learn.microsoft.com/en-us/training/support/faq","2025-10-27","Training is free, profile optional; the current sandbox section requires a separate Azure subscription for exercises."
"mongodb-university","MongoDB University","MongoDB","https://learn.mongodb.com/","Cloud, development and data","Developers; Database administrators; Data engineers","free-account","Self-paced skills and badges in document modeling, CRUD, aggregation and related MongoDB topics.","Sign in to enroll and record progress. Use catalog items labeled Free; instructor-led offerings are explicitly Paid and certification exams are separate. Product accounts or deployment resources are governed independently.","Model a fictional equipment inventory as documents, then explain which queries require an index and how you would validate the schema.","2026-09-19","MongoDB University","https://learn.mongodb.com/","unknown","Current catalog marks skills Free, instructor-led training Paid, and links sign-in and separate certification."
"oracle-mylearn-foundations","Oracle MyLearn — free Foundations","Oracle University","https://www.oracle.com/education/training/","Cloud, development and data","Cloud administrators; Application owners; Technology beginners","free-account","Designated Foundations training and certifications across Oracle Cloud Infrastructure, Fusion Applications and AI.","Use an Oracle account and the free Foundations collection. Broader role training, hands-on labs, live classes and exam attempts are offered through paid learning subscriptions; do not treat all MyLearn content as free.","Use an OCI Foundations module to annotate the identity, network and cost owners for a fictional deployment.","2026-09-19","Oracle Training and Certification","https://www.oracle.com/education/training/","unknown","Explicitly distinguishes free Foundations training/certifications from Oracle Unlimited Learning Subscription features."
"postman-learning-hub","Postman Learning Hub and Academy","Postman","https://www.postman.com/learn/","Cloud, development and data","Developers; Integration owners; Technical support staff","public","Free API documentation, tutorials, videos and linked on-demand learning resources.","Public reading is available without enrollment; hands-on collections and Academy tracking may require a free account. Instructor-led Academy workshops can be paid or entitlement-based: the Enterprise trial advertises a limited complimentary workshop benefit, excluded here. Product team/AI features have separate plan limits.","Use fictional API responses to design a collection that checks a success case, an authorization failure and a missing required field.","2026-09-19","Postman Learning Hub | Postman Enterprise Trial FAQ","https://www.postman.com/learn/ | https://learning.postman.com/docs/getting-started/postman-trials/enterprise-trial-faq","unknown | unknown","Describes free learning resources and links docs, Academy, videos and developer tools. | Describes trial-only complimentary Academy workshops, so instructor-led access must not be described as universally free."
"red-hat-free-courses","Red Hat — no-cost technical overviews","Red Hat","https://www.redhat.com/en/services/training-and-certification","Cloud, development and data","IT administrators; Platform engineers; IT leaders","free-account","Designated introductory video courses such as RH 024, DO 007 and DO 080.","Select courses in the Free courses section; learner registration may be required by the delivery route. Full Learning Subscription, certification and instructor-led offerings are outside this free scope. The subscription trial is not the entry. RH024 currently covers RHEL 10.","Watch the Linux overview, then document the role of users, groups and file permissions in a fictional support procedure.","2026-09-19","Red Hat Training and Certification | RH024 course description","https://www.redhat.com/en/services/training-and-certification | https://www.redhat.com/en/services/training/rh024-red-hat-linux-technical-overview","unknown | unknown","Lists the specific free technical overview courses separately from subscriptions and other training. | RH 024 is a no-cost on-demand video course based on RHEL 10 with no prerequisites."
"snowflake-university","Snowflake University — free on-demand learning","Snowflake","https://learn.snowflake.com/en/","Cloud, development and data","Data analysts; Data engineers; Database administrators","free-account","Free Level Up concept modules and on-demand courses explicitly marked Free.","Enroll through the training portal. The free learning designation does not make a personal Snowflake warehouse free indefinitely: hands-on badge courses and product usage have separate environment prerequisites. Instructor-led classes and SnowPro certification are separate.","Complete First Concepts and Resource Monitors, then draft a cost-and-access checklist for a fictional analytics workspace.","2026-09-19","Snowflake learning catalog | Level Up: First Concepts","https://learn.snowflake.com/en/ | https://learn.snowflake.com/en/courses/OD-LVLUP-101/","unknown | unknown","Separates Free OnDemand modules and badge workshops from instructor-led training and certification. | Marked Free with an enrollment link; describes architecture and related account/resource-management modules."
"splunk-free-training","Splunk free training","Splunk","https://www.splunk.com/en_us/training/free-courses/overview.html","Cloud, development and data","Security analysts; IT operations staff; Data analysts","free-account","Designated free courses on searches, fields, dashboards, architecture and platform basics.","Register for the selected course through Splunk Education. Only the free collection is included; paid courses, certification and software licensing are separate. Any course-specific lab access must be checked on its enrollment page.","Use synthetic service events to explain a search, a useful field and a dashboard measure that would help triage an outage.","2026-09-19","Splunk Free Training Courses","https://www.splunk.com/en_us/training/free-courses/overview.html","unknown","Explicit free-learning catalog with individual course registration links and topic descriptions."
"tableau-free-training","Tableau free training videos","Tableau / Salesforce","https://www.tableau.com/learn/training","Cloud, development and data","Data analysts; Business users; Reporting owners","public","Public short videos for Tableau Desktop, Cloud/Server and Prep basics.","The free video collection is separate from structured eLearning, instructor-led training and certification. Following product exercises requires an appropriate Tableau environment/license; this entry does not promise a free organizational deployment.","Watch the dashboard lessons, then use fictional ticket data to propose a dashboard with one decision, one filter and a clearly defined denominator.","2026-09-19","Tableau Free Training Videos","https://www.tableau.com/learn/training","unknown","Current free-video list covers connecting data, calculations, dashboards, Cloud/Server and Prep, with separate links to other training."
"claude-academy","Claude Academy","Anthropic","https://academy.claude.com/","AI and automation","All employees; Developers; AI champions","free-account","AI fluency, Claude use, agent and builder courses; course completion badges.","Browse without signing in; a free Claude account saves progress and enables badges. No paid plan required for Academy. Paid proctored certifications are a separate partner-only program; product or API practice can have separate costs.","Give an assistant a fictional software-request brief, then identify missing evidence before using its answer.","2026-09-19","Claude Academy — official access and learning information","https://academy.claude.com/help/faq","unknown","FAQ separates free courses and badges from paid partner certification exams and explains personal versus organization-linked accounts."
"google-ml-crash-course","Google Machine Learning Crash Course","Google","https://developers.google.com/machine-learning/crash-course","AI and automation","Analysts; Developers; Technical managers","public","Public videos, visualizations and exercises covering ML models, data, evaluation and responsible engineering.","Reading is open; exercises have their own browser, Python or notebook prerequisites. Separate cloud services are not included simply by reading the course.","Use a fictional ticket classifier to explain false positives, false negatives and the cost of a wrong classification.","2026-09-19","Google Machine Learning Crash Course — official access and learning information","https://developers.google.com/machine-learning/crash-course","unknown","Public course page lists standalone modules, videos, visualizations and hands-on exercises."
"hugging-face-learn","Hugging Face Learn","Hugging Face","https://huggingface.co/learn","AI and automation","Developers; AI engineers","public","Open courses on language models, agents, context, audio and other machine-learning topics.","Course reading is public. Some exercises, course communities and credentials need a free Hugging Face account; model/API hosting and compute have separate quotas or charges.","Read an agents or context lesson and draw the tools and permissions for a fictional read-only assistant.","2026-09-19","Hugging Face Learn — official access and learning information","https://huggingface.co/learn/context-course/unit0/introduction","unknown","Public course includes a syllabus, prerequisites, account requirement and code-agent setup choices; learning material does not supply every required tool subscription."
"n8n-learning","n8n learning documentation","n8n","https://docs.n8n.io/build-your-first-workflow","AI and automation","IT operators; Automation builders","public","Public workflow-building tutorials and concept explanations.","Reading is free. Running examples requires an n8n instance and any external services; n8n Cloud's trial is not ongoing free access. Self-hosting has infrastructure and license conditions. Academy enrollment is a separate path.","Sketch a manual-trigger workflow that classifies fictional requests and identify what evidence would show the intended result.","2026-09-19","n8n learning documentation — official learning information","https://docs.n8n.io/build-your-first-workflow","unknown","Public tutorial explains workflow triggers, credentials, data and branching; execution requires a cloud or self-hosted instance."
"nvidia-free-training","NVIDIA self-paced free courses","NVIDIA","https://www.nvidia.com/en-us/training/self-paced-courses/?section=free-courses","AI and automation","Developers; Infrastructure engineers; AI engineers","free-account","The catalog's explicitly marked Free Courses subset for AI and accelerated computing.","Choose a course marked free and verify its enrollment prerequisites. The whole catalog, certification exams, instructor-led workshops and enterprise packages are not free. Temporary event vouchers are not the basis for inclusion.","Compare CPU, GPU and hosted-API requirements for a small fictional inference task.","2026-09-19","NVIDIA self-paced free courses — official access and learning information","https://www.nvidia.com/en-us/training/self-paced-courses/?section=free-courses","unknown","Maintains a distinct Free Courses section and separate workshops, certifications and enterprise offerings."
"openai-academy","OpenAI Academy","OpenAI","https://academy.openai.com/","AI and automation","All employees; AI champions","free-account","Self-paced AI-at-work, builder and adoption courses.","A ChatGPT account saves enrollment and progress; no paid plan or organization membership is required for courses. Product features and API usage used in practice have separate access and cost conditions.","Rewrite a fictional meeting-summary prompt and explain how you would check the output.","2026-09-19","OpenAI Academy — official access and learning information","https://help.openai.com/en/articles/20001270-openai-academy-courses","unknown","States courses are free globally for anyone with a ChatGPT account, and explains enrollment and progress."
"fast-ai","Practical Deep Learning for Coders","fast.ai","https://course.fast.ai/","AI and automation","Developers; Data practitioners","public","Free recorded practical deep-learning course, lesson notes and online book.","Assumes some coding experience. The page identifies the core recording as 2022; validate package versions and current compute terms before labs. Optional hosting, GPUs and printed books are not promised free.","Train a tiny classifier on an approved public sample and explain one failure case before considering real use.","2026-09-19","Practical Deep Learning for Coders — official access and learning information","https://course.fast.ai/","unknown","States the course and online book are free, names prerequisites and dates the core course recording."
"full-stack-deep-learning","The Full Stack — open courses","The Full Stack","https://fullstackdeeplearning.com/","AI and automation","Developers; AI product teams","public","Public AI application lectures and labs, including the 2022 deep-learning course and 2023 LLM bootcamp.","Archived teaching is open; product APIs, GPU resources and hosted deployments used in labs may cost money. Recheck older tool examples before running them.","Draft an evaluation-and-monitoring plan for a fictional internal question-answering tool.","2026-09-19","The Full Stack — open courses — official access and learning information","https://fullstackdeeplearning.com/","unknown","The course site identifies its 2022/2023 materials, AI-product lifecycle coverage and free course availability."
